name,offices,address1,address2,latitude,longitude,"lat,lon"
Hitachi,"[{'description': '', 'address1': '6-6, Marunouchi 1-chome', 'address2': 'Chiyoda-ku', 'zip_code': '100-8280', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","6-6, Marunouchi 1-chome, 100-8280 Tokyo","Chiyoda-ku, 100-8280 Tokyo",,,"['35.73344', '139.44794']"
Mulodo,"[{'description': 'Tokyo', 'address1': 'Morohashi Bldg. 3F', 'address2': '2-15-6 Kamimeguro, Meguro-ku', 'zip_code': '153-0051', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Morohashi Bldg. 3F, 153-0051 Tokyo","2-15-6 Kamimeguro, Meguro-ku, 153-0051 Tokyo",,,
Nifty,"[{'description': 'HQ', 'address1': '6-26-1 Minami Oi Shinagwa-ku', 'address2': '', 'zip_code': '140-8544', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","6-26-1 Minami Oi Shinagwa-ku, 140-8544 Tokyo",", 140-8544 Tokyo",,,"['35.68535', '139.54588']"
MItsubishi Electric,"[{'description': 'HQ', 'address1': 'Tokyo Building 2-7-3 Marunouchi Chiyoda-ku', 'address2': '', 'zip_code': '100-8310', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Tokyo Building 2-7-3 Marunouchi Chiyoda-ku, 100-8310 Tokyo",", 100-8310 Tokyo",,,
SoftBank,"[{'description': 'Headquarter', 'address1': 'Tokyo Shiodome Bldg., 1-9-1', 'address2': 'Higashi-shimbashi, Minato-ku', 'zip_code': '105-7303', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Tokyo Shiodome Bldg., 1-9-1, 105-7303 Tokyo","Higashi-shimbashi, Minato-ku, 105-7303 Tokyo",,,"['35.68535', '139.54588']"
DeNA,"[{'description': 'Headquarters', 'address1': 'Shibuya Hikarie, 2-21-1', 'address2': 'Shibuya, Shibuya-ku', 'zip_code': '150-8510', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Shibuya Hikarie, 2-21-1, 150-8510 Tokyo","Shibuya, Shibuya-ku, 150-8510 Tokyo",,,
Enigmo,"[{'description': 'Headquarter', 'address1': 'Yushin Bldg. New Annex 11F, 3-27-11', 'address2': 'Shibuya Shibuya-ku', 'zip_code': '150-0002', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Yushin Bldg. New Annex 11F, 3-27-11, 150-0002 Tokyo","Shibuya Shibuya-ku, 150-0002 Tokyo",,,"['35.68535', '139.54588']"
J-Magic,"[{'description': 'Headquarter', 'address1': '3-4-30 Shiba Koen, 32 Shiba Koen Bldg. 10F', 'address2': 'Minato-Ku', 'zip_code': '105-0011', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","3-4-30 Shiba Koen, 32 Shiba Koen Bldg. 10F, 105-0011 Tokyo","Minato-Ku, 105-0011 Tokyo",,,"['35.68535', '139.54588']"
Power Technology,"[{'description': 'Headquarter', 'address1': '2-11-7 Sumitomo Fudousan Nibanchou Bldg., 1F', 'address2': 'Chiyoda-ku', 'zip_code': '102-0084', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","2-11-7 Sumitomo Fudousan Nibanchou Bldg., 1F, 102-0084 Tokyo","Chiyoda-ku, 102-0084 Tokyo",,,
Walt Disney Interactive Media Group (Japan),"[{'description': 'Headquarter', 'address1': '1-8-1, Shimomeguro', 'address2': 'Meguro-ku', 'zip_code': '153-0064', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","1-8-1, Shimomeguro, 153-0064 Tokyo","Meguro-ku, 153-0064 Tokyo",,,
Yahoo! Japan,"[{'description': 'Headquarters', 'address1': 'Roppongi Hills Mori Tower, 10-1 Roppongi', 'address2': 'Minato-ku', 'zip_code': '106-0032', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Roppongi Hills Mori Tower, 10-1 Roppongi, 106-0032 Tokyo","Minato-ku, 106-0032 Tokyo",,,
SoftBank Mobile,"[{'description': '', 'address1': 'Tokyo Shiodome Building 1-9-1', 'address2': 'Higashi-Shimbashi, Minato-Ku', 'zip_code': '105-7320', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Tokyo Shiodome Building 1-9-1, 105-7320 Tokyo","Higashi-Shimbashi, Minato-Ku, 105-7320 Tokyo",,,
Tonchidot,"[{'description': 'HQ', 'address1': '2-5-12, Shinjuku', 'address2': 'Shinjuku-ku', 'zip_code': '160-0022', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","2-5-12, Shinjuku, 160-0022 Tokyo","Shinjuku-ku, 160-0022 Tokyo",,,
Hitachi,"[{'description': '', 'address1': '6-6, Marunouchi 1-chome', 'address2': 'Chiyoda-ku', 'zip_code': '100-8280', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","6-6, Marunouchi 1-chome, 100-8280 Tokyo","Chiyoda-ku, 100-8280 Tokyo",,,"['35.73344', '139.44794']"
Mulodo,"[{'description': 'Tokyo', 'address1': 'Morohashi Bldg. 3F', 'address2': '2-15-6 Kamimeguro, Meguro-ku', 'zip_code': '153-0051', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Morohashi Bldg. 3F, 153-0051 Tokyo","2-15-6 Kamimeguro, Meguro-ku, 153-0051 Tokyo",,,
Nifty,"[{'description': 'HQ', 'address1': '6-26-1 Minami Oi Shinagwa-ku', 'address2': '', 'zip_code': '140-8544', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","6-26-1 Minami Oi Shinagwa-ku, 140-8544 Tokyo",", 140-8544 Tokyo",,,
MItsubishi Electric,"[{'description': 'HQ', 'address1': 'Tokyo Building 2-7-3 Marunouchi Chiyoda-ku', 'address2': '', 'zip_code': '100-8310', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Tokyo Building 2-7-3 Marunouchi Chiyoda-ku, 100-8310 Tokyo",", 100-8310 Tokyo",,,"['35.68701', '139.75020']"
LinkThink,"[{'description': 'Headquarter', 'address1': 'N.E.S. Building S3F, 22-14 Sakuragaokachou', 'address2': 'Shibuya-ku', 'zip_code': '150-0031', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","N.E.S. Building S3F, 22-14 Sakuragaokachou, 150-0031 Tokyo","Shibuya-ku, 150-0031 Tokyo",,,
IBM Japan,"[{'description': 'HQ', 'address1': '19-21 Nihonbashi Hakozaki-cho', 'address2': 'Chuo-ku', 'zip_code': '103-8510', 'city': 'Tokyo', 'state_code': 'AL', 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","19-21 Nihonbashi Hakozaki-cho, 103-8510 Tokyo","Chuo-ku, 103-8510 Tokyo",,,"['35.68535', '139.54588']"
Eurotechnology Japan,"[{'description': 'Head Office', 'address1': 'Shinagawa Intercity Tower A 28th floor', 'address2': '2-15-1 Konan, Minato-ku', 'zip_code': '108-6028', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Shinagawa Intercity Tower A 28th floor, 108-6028 Tokyo","2-15-1 Konan, Minato-ku, 108-6028 Tokyo",,,"['35.61299', '139.73274']"
Sumitomo Corporation,"[{'description': 'HQ', 'address1': 'Harumi Island Triton Square Office Tower Y', 'address2': '8-11 Harumi 1-chome, Chuo-ku', 'zip_code': '104-8610', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Harumi Island Triton Square Office Tower Y, 104-8610 Tokyo","8-11 Harumi 1-chome, Chuo-ku, 104-8610 Tokyo",,,
GREE,"[{'description': 'Headquarters', 'address1': 'Roppongi-Hills Mori Tower, 6-10-1, Roppongi', 'address2': 'Minato-ku', 'zip_code': '106-0032', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Roppongi-Hills Mori Tower, 6-10-1, Roppongi, 106-0032 Tokyo","Minato-ku, 106-0032 Tokyo",,,"['35.66061', '139.72955']"
UltraSuperNew,"[{'description': 'Head Office', 'address1': 'Tominaga Bldg. Part 1 #302', 'address2': 'Jingumae 6-9-1, Shibuya-ku', 'zip_code': '150-0001', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Tominaga Bldg. Part 1 #302, 150-0001 Tokyo","Jingumae 6-9-1, Shibuya-ku, 150-0001 Tokyo",,,
NTT DoCoMo,"[{'description': 'HQ', 'address1': '2-11-1 Nagata-cho', 'address2': 'Chiyoda-ku', 'zip_code': '', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","2-11-1 Nagata-cho,  Tokyo","Chiyoda-ku,  Tokyo",,,
Natasha,"[{'description': 'Headquarter', 'address1': 'Shimokitazawa 2-28-7, 2F', 'address2': 'Setagaya-ku', 'zip_code': '155-0031', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Shimokitazawa 2-28-7, 2F, 155-0031 Tokyo","Setagaya-ku, 155-0031 Tokyo",,,"['35.68535', '139.54588']"
DigiDock,"[{'description': 'Headquarter', 'address1': '6-10-202 Sumiyosichou', 'address2': 'Shinjuku-ku', 'zip_code': '162-0065', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","6-10-202 Sumiyosichou, 162-0065 Tokyo","Shinjuku-ku, 162-0065 Tokyo",,,
Appliya,"[{'description': 'Headquarter', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]",",  Tokyo",",  Tokyo",,,"['35.68535', '139.54588']"
Nippon Telegraph and Telephone Corporation,"[{'description': 'NTT', 'address1': '3-1, Otemachi 2-chome, Chiyoda-ku', 'address2': '', 'zip_code': '100-8116', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","3-1, Otemachi 2-chome, Chiyoda-ku, 100-8116 Tokyo",", 100-8116 Tokyo",,,
GreenITers,"[{'description': '', 'address1': '', 'address2': '', 'zip_code': '0000', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': 37.443, 'longitude': -122.159291}]",", 0000 Tokyo",", 0000 Tokyo",37.443,-122.159291,"[37.443, -122.159291]"
Metacast,"[{'description': 'Headquarter', 'address1': 'NGA Minami Aoyama Bldg. XII 4F, Aoyama 7-3-1', 'address2': 'Minato-ku', 'zip_code': '107-0062', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","NGA Minami Aoyama Bldg. XII 4F, Aoyama 7-3-1, 107-0062 Tokyo","Minato-ku, 107-0062 Tokyo",,,"['35.66117', '139.71604']"
ImaHima,"[{'description': 'Office', 'address1': '1-3-1-302 Moto-Azabu', 'address2': 'Minato-ku', 'zip_code': '106-0046', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","1-3-1-302 Moto-Azabu, 106-0046 Tokyo","Minato-ku, 106-0046 Tokyo",,,"['35.65895', '139.72354']"
COOKPAD,"[{'description': 'Headquarter', 'address1': '5-12-7 Shirokanedai', 'address2': 'Minato-ku', 'zip_code': '108-0071', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","5-12-7 Shirokanedai, 108-0071 Tokyo","Minato-ku, 108-0071 Tokyo",,,
UQ Communications,"[{'description': 'Headquarters', 'address1': 'Shinagawa East One Tower', 'address2': '2-16-1 Konan,  Minato-ku', 'zip_code': '108-0075', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Shinagawa East One Tower, 108-0075 Tokyo","2-16-1 Konan,  Minato-ku, 108-0075 Tokyo",,,"['35.61299', '139.73274']"
CScout Japan,"[{'description': 'CScout Japan Co., Ltd.', 'address1': 'Hanegi 2-17-8', 'address2': 'Setagaya-ku', 'zip_code': '156-0042', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Hanegi 2-17-8, 156-0042 Tokyo","Setagaya-ku, 156-0042 Tokyo",,,
